施設ID,橋梁名,路線名,管理者,管理事務所,緯度,経度,架設年度,橋長,幅員,点検年度,判定区分,措置状況,更新日時
"35.80772,139.83860",葛西橋(上り),県道八潮三郷線,埼玉県,越谷県土整備事務所,35.80765,139.83853,1984,14.7,13.8,2025,1,0,2026-02-12T15:40:47+09:00
"35.80782,139.83835",葛西橋(下り),県道八潮三郷線,埼玉県,越谷県土整備事務所,35.80778,139.83828,1984,14.7,15.8,2025,1,0,2026-02-12T15:37:46+09:00
"35.80790,139.84027",市道5225号線橋,市道5225号線,八潮市,八潮市,35.8079,139.84027,,4.0,4.0,2024,2,8,2025-11-01T00:00:00+09:00
"35.80795,139.83833",市道5221号線橋,市道5221号線,八潮市,八潮市,35.80795,139.83833,,4.0,6.0,2024,2,8,2025-11-01T00:00:00+09:00
"35.80819,139.84986",市道0360号線橋,市道0360号線,八潮市,八潮市,35.80819,139.84986,,10.0,24.2,2023,1,0,2025-11-01T00:00:00+09:00
"35.80833,139.84028",無名橋,市道5223号線,八潮市,八潮市,35.80833,139.84028,,5.0,6.0,2022,1,0,2025-11-01T00:00:00+09:00
"35.80847,139.83055",市道5324号線橋,市道5324号線,八潮市,八潮市,35.80847,139.83055,,3.1,4.0,2025,2,8,2026-03-19T16:18:24+09:00
"35.80859,139.82421",市道4067号線橋,市道4067号線,八潮市,八潮市,35.80859,139.82421,,3.0,15.2,2024,2,8,2025-11-01T00:00:00+09:00
"35.80861,139.83667",大原橋,市道5073号線,八潮市,八潮市,35.80861,139.83667,1979,20.0,12.8,2022,3,1,2025-11-01T00:00:00+09:00
"35.80863,139.83861",市道5218-1号線橋,市道5218号線,八潮市,八潮市,35.80863,139.83861,,4.0,6.0,2024,2,8,2026-05-22T13:33:55+09:00
"35.80928,139.84008",市道5349号線橋,市道5349号線,八潮市,八潮市,35.80928,139.84008,,4.0,7.6,2024,2,8,2025-11-01T00:00:00+09:00
"35.80958,139.84000",市道5218-2号線橋,市道5218号線,八潮市,八潮市,35.80958,139.84,1983,5.0,6.0,2024,2,8,2026-05-22T13:34:15+09:00
"35.80970,139.85317",市道6255号線橋,市道6255号線,八潮市,八潮市,35.8097,139.85317,2007,2.0,5.5,2024,1,0,2025-11-01T00:00:00+09:00
"35.80998,139.83994",市道5339号線橋,市道5339号線,八潮市,八潮市,35.80998,139.83994,,4.0,7.5,2024,1,0,2025-11-01T00:00:00+09:00
"35.81009,139.83813",市道5212-1号線橋,市道5212号線,八潮市,八潮市,35.81009,139.83813,,3.0,8.0,2024,2,8,2025-11-01T00:00:00+09:00
"35.81035,139.85088",市道0620号線橋,市道0620号線,八潮市,八潮市,35.81035,139.85088,1985,5.0,6.8,2024,1,0,2025-11-01T00:00:00+09:00
"35.81038,139.83978",市道5212-2号線橋,市道5212号線,八潮市,八潮市,35.81038,139.83978,,4.0,8.0,2024,2,8,2025-11-01T00:00:00+09:00
"35.81052,139.84093",市道0740号線橋,市道0740号線,八潮市,八潮市,35.81052,139.84093,,3.0,12.0,2024,1,0,2025-11-01T00:00:00+09:00
"35.81058,139.82638",市道4037号線橋,市道4037号線,八潮市,八潮市,35.81058,139.82638,,4.0,8.4,2024,2,8,2025-11-01T00:00:00+09:00
